 Name,Email ID,Attendence,College Name,,CGPA,Speaking Skills,ML Knowledge,Placement Status
Pooja ,pooja@xyz.com,95%,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,8.5,3,2,0
Shubham,shubham@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,8.8,4,4,1
Prachi,prachi@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,7.9,2,5,0
Priya,priya@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,7.5,4,2,0
Ashwini ,ashwini@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,8.3,5,2,0
Chetan,chetan@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,6.4,3,4,0
Aakanksha ,aakanksha@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,7.5,4,2,0
Dhanshri ,dhanshri@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,7.7,5,4,1
Aishwarya,aishwarya@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.9,3,5,1
punam,punam@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,7.6,4,3,0
Kanika ,kanika@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.9,2,3,0
Pritish,pritish@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,7.7,3,4,1
Laxmikant,laxmikant@xyz.com,95%,St.Francis Institute of Technology,,7.4,2,3,1
Balasubramani,balasubramani@xyz.com,95%,New horizon institute of Technology and Management ,,9.2,4,2,0
Rasika,rasika@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,7.6,2,4,0
Aayush,aayush@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,8.7,2,5,0
Mrunali,mrunali@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,9.5,2,4,1
Durga,durga@xyz.com,95%,A. C. Patil College of Engineering,,6.9,3,4,0
Ruchit,ruchit@xyz.com,95%,Wilson college ,,9.2,5,2,0
Mayuresh,mayuresh@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,6.9,4,4,0
ROHIT,rohit@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,7.2,5,3,0
Nutan,nutan@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.5,4,5,0
Yogesh,yogesh@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,6.5,3,5,1
Pranali,pranali@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,7.5,4,2,1
Gaurang,gaurang@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,6.9,3,4,0
Param,param@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,7.6,5,5,0
Ritesh,ritesh@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,6.5,4,5,1
Harsh,harsh@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,7.3,3,5,1
Sanika ,sanika@xyz.com,95%,St.Francis Institute of Technology,,6.7,5,2,0
Shruti,shruti@xyz.com,95%,New horizon institute of Technology and Management ,,8.7,2,3,0
Sonali ,sonali@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,6.7,3,2,0
Sushant ,sushant@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,9,4,4,1
Omkar,omkar@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,7.2,4,2,0
Krutika ,krutika@xyz.com,95%,A. C. Patil College of Engineering,,8.5,5,2,0
Sachin,sachin@xyz.com,95%,Wilson college ,,6.5,4,4,0
Lucifer,lucifer@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,6.6,3,5,0
Omkar,omkar@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,9.5,5,2,0
Varun,varun@xyz.com,95%,,,8.1,2,5,1
Upasana,upasana@xyz.com,95%,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,,9.7,5,4,1
Anand,anand@xyz.com,95%,AP SHAH INSTITUTE OF TECHNOLOGY ,,9.3,4,5,0
Karuna,karuna@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,9.1,3,4,0
Vrinda,vrinda@xyz.com,95%,Pillai College of Engineering New Panvel,,7.6,5,2,1
Vishal,vishal@xyz.com,95%,St Xavier's College ,,7.8,5,3,1
Sagarika,sagarika@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,7.9,3,4,0
Shweta,shweta@xyz.com,95%,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,8.5,2,2,0
Madhuri,madhuri@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,8.7,3,4,0
subhashchandra,subhashchandra@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,8.3,4,3,1
Vaishnavi,vaishnavi@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.4,2,4,0
Hanmant,hanmant@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,8.6,2,4,0
Nimish,nimish@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,8.5,4,4,0
Viki,viki@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,9.1,4,3,0
Rutuja,rutuja@xyz.com,95%,St.Francis Institute of Technology,,7.7,5,2,0
Somnath ,somnath@xyz.com,95%,New horizon institute of Technology and Management ,,7.5,3,4,1
Rahul ,rahul@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,7.2,5,3,1
Shivani,shivani@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,7.6,4,5,0
Avantika,avantika@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,7.3,2,4,0
Kalpesh,kalpesh@xyz.com,95%,A. C. Patil College of Engineering,,7.3,5,2,1
Sunny,sunny@xyz.com,95%,Wilson college ,,9.4,3,5,1
Sarvesh,sarvesh@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,6.6,4,3,0
Sanjay,sanjay@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,6.6,5,4,0
amit,amit@xyz.com,95%,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",,8.5,3,5,0
Apurv ,apurv@xyz.com,78%,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,,7.7,2,4,1
Akash,akash@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,8.1,4,4,0
Shraddha ,shraddha@xyz.com,78%,"Vidyalankar Institute of Technology, Mumbai",,7.9,2,4,0
Supriya,supriya@xyz.com,95%,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,,7.1,2,3,0
Pranit,pranit@xyz.com,95%,Silicon Institute of Technology,,8.3,5,3,0
Pratiksha,pratiksha@xyz.com,78%,ADHIYAMAAN COLLEGE OF ENGINEERING,,7.7,2,5,0
Supriya,supriya@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,8,2,5,1
Nisha,nisha@xyz.com,95%,Pillai College of Engineering New Panvel,,6.5,2,5,1
Rehan,rehan@xyz.com,95%,St Xavier's College ,,9.4,2,4,0
Vinit ,vinit@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,6.8,5,2,0
Shweta,shweta@xyz.com,95%,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,6.7,4,3,1
Pratiksha ,pratiksha@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,7.9,2,2,1
Ninad,ninad@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,9.3,5,3,0
Satish ,satish@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,6.9,4,3,0
Vignesh,vignesh@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,8.9,4,3,0
Dinesh,dinesh@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,8.3,2,4,1
Ayushi,ayushi@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,7.2,4,4,0
Yash,yash@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,8.1,2,3,0
Zaid,zaid@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.5,5,2,0
ritesh,ritesh@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,9.6,3,2,0
Leah,leah@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.5,3,4,0
Simran,simran@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,7.9,2,4,1
Puja,puja@xyz.com,95%,St.Francis Institute of Technology,,9.3,3,5,1
Krutika,krutika@xyz.com,95%,New horizon institute of Technology and Management ,,9.6,4,4,0
Kapil,kapil@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,9.1,2,3,0
Harish,harish@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,7.3,5,4,1
Pallavi ,pallavi@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,7.5,2,4,1
Himani ,himani@xyz.com,95%,A. C. Patil College of Engineering,,7.6,2,2,0
Neeta,neeta@xyz.com,95%,Wilson college ,,8,4,4,0
Sachi,sachi@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.2,2,3,0
Rupali Ramteke,rupaliramteke@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,9.1,3,4,1
Diksha,diksha@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,6.7,5,5,0
Yogita,yogita@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,7.1,5,5,0
Bhagyashri,bhagyashri@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,7.1,4,4,0
shashank,shashank@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.5,2,2,0
Sonali,sonali@xyz.com,95%,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,,9.2,5,5,0
Satish,satish@xyz.com,95%,AP SHAH INSTITUTE OF TECHNOLOGY ,,7.9,5,5,1
Chetansingh,chetansingh@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,7.3,5,5,1
Anjalee,anjalee@xyz.com,95%,Pillai College of Engineering New Panvel,,7.3,4,4,0
Supriya,supriya@xyz.com,95%,St Xavier's College ,,7.8,3,3,0
Kajal,kajal@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,9.1,4,4,1
Aditya,aditya@xyz.com,95%,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,6.9,2,2,1
Pratik,pratik@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,8.4,4,4,0
Sonal,sonal@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,6.7,4,4,0
Ashwini,ashwini@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.2,2,2,0
Sagar,sagar@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,7.3,5,5,1
Dinesh,dinesh@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.9,4,4,0
Joston Movin,jostonmovin@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,9.9,5,5,0
Himanshu,himanshu@xyz.com,95%,St.Francis Institute of Technology,,7.6,2,2,0
Anushka,anushka@xyz.com,95%,New horizon institute of Technology and Management ,,9.3,5,5,0
savio,savio@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,6.4,2,2,0
Hussain,hussain@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,8.4,4,4,1
Aaron,aaron@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,6.6,3,3,1
Darsh,darsh@xyz.com,95%,A. C. Patil College of Engineering,,7.8,2,2,0
Rajkumar,rajkumar@xyz.com,95%,Wilson college ,,8.7,4,4,0
Rushikesh ,rushikesh@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.2,2,2,1
Vaishnavi,vaishnavi@xyz.com,78%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,7.1,3,3,1
Mona ,mona@xyz.com,95%,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",,8,2,2,0
Chetan ,chetan@xyz.com,95%,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,,8.5,2,2,0
Apurva,apurva@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,8.5,2,2,0
Aatif,aatif@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,9.1,3,3,1
Aditya,aditya@xyz.com,95%,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,,9.7,4,4,0
Vaibhav,vaibhav@xyz.com,95%,Silicon Institute of Technology,,8.7,2,2,0
Swapnali,swapnali@xyz.com,95%,ADHIYAMAAN COLLEGE OF ENGINEERING,,6.5,3,3,0
Manish,manish@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,8.8,5,5,0
Aatif,aatif@xyz.com,95%,Pillai College of Engineering New Panvel,,9.3,2,2,0
Sonali,sonali@xyz.com,95%,St Xavier's College ,,7.6,4,4,1
VARAD,varad@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,6.5,5,5,1
Pradeep,pradeep@xyz.com,78%,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,8.7,3,3,0
ASHUTOSH KUMAR,ashutoshkumar@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,9.1,2,2,0
SANKET,sanket@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,9.2,5,5,1
Pooja,pooja@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,7.3,2,2,1
Harshal,harshal@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,7.6,2,2,0
Abhishek ,abhishek@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.1,2,2,0
Vaishnavi,vaishnavi@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,8.3,3,3,0
Rushikesh,rushikesh@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,9.2,3,3,1
Germano,germano@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.9,5,5,0
Priyanka ,priyanka@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,9.3,5,5,0
Shk ,shk@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.1,5,5,0
Shivsagar ,shivsagar@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,7.5,2,2,0
Vishal,vishal@xyz.com,78%,St.Francis Institute of Technology,,7.3,4,4,0
Pratik,pratik@xyz.com,95%,New horizon institute of Technology and Management ,,7.4,3,3,1
PRAMOD,pramod@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,8.3,4,4,1
Samiksha,samiksha@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,7.4,3,3,0
Rucha,rucha@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,6.7,3,3,0
Shiny ,shiny@xyz.com,95%,A. C. Patil College of Engineering,,7.3,3,3,1
Darshan ,darshan@xyz.com,95%,Wilson college ,,9.7,2,2,1
Ankita,ankita@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.9,2,2,0
Hemant,hemant@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,7.2,3,3,0
Ritik ,ritik@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.1,4,4,0
Snehal,snehal@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,8.7,4,4,1
Vedant,vedant@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,8.7,2,2,0
Lisban ,lisban@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,8.2,2,2,0
Philip,philip@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,6.8,5,5,0
?????? ????,??????????@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.1,2,2,0
Rea,rea@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,8.5,3,3,0
Priyanka,priyanka@xyz.com,95%,St.Francis Institute of Technology,,9.1,2,2,1
Mahima,mahima@xyz.com,95%,New horizon institute of Technology and Management ,,9.5,2,2,1
Sufiyan,sufiyan@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,6.7,4,4,0
Shaktivel,shaktivel@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,6.7,2,2,0
Vishal,vishal@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,8.2,3,3,1
Rajashree,rajashree@xyz.com,95%,A. C. Patil College of Engineering,,6.5,2,2,1
Noemi,noemi@xyz.com,95%,Wilson college ,,8.7,4,4,0
Hrishi,hrishi@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,9.1,2,2,0
Lipika ,lipika@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,8.9,5,5,0
Payal ,payal@xyz.com,95%,NA,,7.4,5,5,1
akanksha,akanksha@xyz.com,95%,NA,,7.3,5,5,0
Pooja,pooja@xyz.com,95%,NA,,8.6,2,2,0
Shital,shital@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,9.2,2,2,0
Ajinkya,ajinkya@xyz.com,95%,A. C. Patil College of Engineering,,7.8,3,3,0
Sapana,sapana@xyz.com,95%,Wilson college ,,7.9,2,2,0
Prathit,prathit@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,9.9,2,2,1
AKANKSHA,akanksha@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,8.1,2,2,1
MAHESH,mahesh@xyz.com,95%,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",,9.5,4,4,0
Vaishnavi,vaishnavi@xyz.com,95%,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,,9.8,3,3,0
Avijit,avijit@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,9.6,2,2,1
Shrikant,shrikant@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,9.6,5,5,1
Madhumita,madhumita@xyz.com,95%,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,,6.2,5,5,0
Aznan,aznan@xyz.com,95%,Silicon Institute of Technology,,9.1,3,3,0
Shruti,shruti@xyz.com,95%,ADHIYAMAAN COLLEGE OF ENGINEERING,,7.2,4,4,0
Sunny,sunny@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,9.5,4,4,1
Anaida,anaida@xyz.com,95%,Pillai College of Engineering New Panvel,,6.8,4,4,0
kajal ,kajal@xyz.com,95%,St Xavier's College ,,8.4,4,4,0
Sanika,sanika@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,9.9,2,2,0
Medha,medha@xyz.com,95%,,,6.6,4,4,0
Shruti,shruti@xyz.com,95%,A. C. Patil College of Engineering,,6.7,2,2,0
Omkar,omkar@xyz.com,95%,Wilson college ,,7.6,3,3,1
Snehal,snehal@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,8.3,2,2,1
Louis,louis@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,6.3,4,4,0
Manisha,manisha@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,8.9,4,4,0
Rahul,rahul@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,9.5,5,5,1
Parag,parag@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,8.5,4,4,1
ANKITA,ankita@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,8.5,5,5,0
Dhanashri,dhanashri@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,8.8,4,4,0
Ayushi,ayushi@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.9,4,4,0
Asmita,asmita@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,7.5,3,3,1
Raghav,raghav@xyz.com,95%,St.Francis Institute of Technology,,8.3,5,5,0
Chetan,chetan@xyz.com,95%,New horizon institute of Technology and Management ,,6.4,4,4,0
Shruti,shruti@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,7.5,2,2,0
Sharvari,sharvari@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,7.7,4,4,0
Ishika,ishika@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,9.9,3,3,0
Bhavana,bhavana@xyz.com,95%,A. C. Patil College of Engineering,,7.6,3,3,1
???? ????,????????@xyz.com,95%,Wilson college ,,7.9,5,5,1
Sonal,sonal@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.7,5,5,0
Ninaad,ninaad@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,7.4,5,5,0
YASH,yash@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,9.2,3,3,1
Amey,amey@xyz.com,95%,A. C. Patil College of Engineering,,7.6,5,5,1
Aiman,aiman@xyz.com,95%,Wilson college ,,8.7,4,4,0
Hitesha,hitesha@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,9.5,3,3,0
Yash,yash@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,6.9,2,2,0
Rutuja,rutuja@xyz.com,95%,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",,9.2,3,3,1
Yash,yash@xyz.com,95%,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,,6.9,2,2,0
Allan,allan@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,7.2,3,3,0
Swastik ,swastik@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,7.5,4,4,0
zobia,zobia@xyz.com,95%,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,,6.5,5,5,0
Monika,monika@xyz.com,95%,Silicon Institute of Technology,,7.5,5,5,0
Yogesh ,yogesh@xyz.com,95%,ADHIYAMAAN COLLEGE OF ENGINEERING,,6.9,4,4,1
Janavi,janavi@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,7.6,2,2,1
Carson,carson@xyz.com,95%,Pillai College of Engineering New Panvel,,6.5,4,4,0
Benita,benita@xyz.com,95%,St Xavier's College ,,7.3,4,4,0
Gouri,gouri@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,6.7,5,5,1
Akshata,akshata@xyz.com,95%,,,8.7,5,5,1
Prafulla,prafulla@xyz.com,95%,A. C. Patil College of Engineering,,6.7,5,5,0
Samiksha,samiksha@xyz.com,95%,Wilson college ,,9,4,4,0
SIDDHESH,siddhesh@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.2,2,2,0
Ramhari,ramhari@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,8.5,5,5,1
Pallavi,pallavi@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,6.5,5,5,0
Somnath,somnath@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,6.6,5,5,0
Sayali,sayali@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,9.5,4,4,0
Chetan,chetan@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,8.1,4,4,0
Santosh,santosh@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,9.7,4,4,0
